id,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,content
508,d1-2,d1,2,TRUE,JCM14889-2-1s-58,0.405708539,216,206,227,4.351605767,2,508,1.218449615
509,d1-2,d1,2,TRUE,JCM14889-2-1s-59,0.274029377,216,207,229,2.72002111,2,509,0.761605911
510,d1-2,d1,2,TRUE,JCM14889-2-1s-61,0.193648189,217,207,226,1.402931779,2,510,0.392820898
512,d1-2,d1,2,TRUE,JCM14889-2-1s-63,0.200427908,218,201,226,2.160259846,2,512,0.604872757
513,d1-2,d1,2,TRUE,JCM14889-2-1s-64,0.392630444,216,205,229,3.989160889,2,513,1.116965049
514,d1-2,d1,2,TRUE,JCM14889-2-1s-65,0.314817858,217,204,229,3.141161841,2,514,0.879525315
518,d1-2,d1,2,TRUE,JCM14889-2-1s-70,0.254104823,218,205,225,1.990200512,2,518,0.557256143
519,d1-2,d1,2,TRUE,JCM14889-2-1s-71,0.23866606,217,206,224,1.572897957,2,519,0.440411428
520,d1-2,d1,2,TRUE,JCM14889-2-1s-72,0.325523314,216,207,228,3.251795989,2,520,0.910502877
521,d1-2,d1,2,TRUE,JCM14889-2-1s-74,0.21338041,219,204,225,1.668300454,2,521,0.467124127
522,d1-2,d1,2,TRUE,JCM14889-2-1s-76,0.225479137,217,209,232,1.905888248,2,522,0.533648709
523,d1-2,d1,2,TRUE,JCM14889-2-1s-77,0.335907276,217,203,226,3.184611748,2,523,0.891691289
524,d1-2,d1,2,TRUE,JCM14889-2-1s-78,0.385084062,217,206,227,3.649457959,2,524,1.021848229
525,d1-2,d1,2,TRUE,JCM14889-2-1s-81,0.258234805,216,205,227,2.453088812,2,525,0.686864867
527,d1-2,d1,2,TRUE,JCM14889-2-1s-84,0.194881918,217,210,223,0.947725178,2,527,0.26536305
528,d1-2,d1,2,TRUE,JCM14889-2-1s-85,0.628539639,217,203,231,7.151156584,2,528,2.002323844
529,d1-2,d1,2,TRUE,JCM14889-2-1s-86,0.442865932,218,201,228,4.326722064,2,529,1.211482178
530,d1-2,d1,2,TRUE,JCM14889-2-1s-87,0.331276712,217,204,229,3.576926297,2,530,1.001539363
